Time_open,Type,Size,Symbol,Price_open,S/L,T/P,Time_close,Price_close,Swap,Profit,Comment,
2021/04/28 08:11:54,buy,0.04,audusd_H1,0.77474,0.77365,0.77617,2021/04/28 09:10:27,0.77617,0,5.72,Cabeza fria,
2021/04/28 12:55:43,sell,0.04,eurjpy_M15,131.56,131.63,131.472,2021/04/28 13:00:03,131.63,0,-2.57,Cabeza fría,
2021/04/28 14:01:17,sell,0.03,wticash_M30,63.62,63.96,63.22,2021/04/29 19:56:27,63.96,-0.45,-10.2,Cabeza fria,
2021/04/29 09:51:55,sell,0.04,eurusd_H4,1.21126,1.21363,1.2075,2021/04/30 08:51:04,1.2075,-0.08,15.04,Cabeza fría,
2021/04/30 08:58:16,sell,0.04,eurjpy__H4,131.632,131.972,130.965,2021/05/02 16:00:08,131.618,-0.11,0.52,Cabeza fría,
2021/05/02 18:39:39,buy,0.04,gbpusd_M30,1.38202,1.38053,1.38523,2021/05/03 01:02:00,1.38053,0,-5.96,Cabeza fría,
2021/05/03 08:25:19,buy,0.04,usdcad_H4,1.22921,1.22591,1.23536,2021/05/05 08:36:10,1.22739,0,-5.93,Cabeza fria,
2021/05/04 09:36:13,buy,0.04,nzdusd_H4,0.71478,0.71343,0.71723,2021/05/04 10:11:34,0.71343,0,-5.4,Cabeza fria,
2021/05/05 09:20:55,sell,0.02,us30_m1_H1,33954,34140,33794,2021/05/05 10:41:23,34140,0,-18.6,Cabeza fría,
2021/05/05 09:49:05,sell,0.01,wticash_H1,65.8,66.79,64.77,2021/05/05 15:39:31,65.3,0,5,Cabeza fria,
2021/05/06 09:55:32,sell,1,eu50cash_H1,3983.6,4024,3936.5,2021/05/06 02:00:01,4025,-0.93,-49.91,Cabeza fria,
2021/05/06 14:35:25,buy,0.04,nzdusd_H1,0.72353,0.71951,0.7264,2021/05/07 07:37:40,0.7264,-0.11,11.48,Cabeza fria,
2021/05/06 13:23:48,buy,0.03,eurusd_H4,1.20607,1.19772,1.21794,2021/05/07 08:03:06,1.21253,-0.18,19.38,Cabeza fria,
2021/05/07 09:00:35,buy,0.05,gbpusd_H1,1.39455,1.38735,1.40066,2021/05/10 02:09:02,1.40066,-0.24,30.55,Cabeza fría,
2021/05/07 09:27:32,sell,1,inditex,30.65,31.36,28.95,2021/05/10 08:43:31,31.23,0,-0.71,Cabeza fría,
2021/05/07 09:33:45,buy,0.05,nzdusd_H1,0.72671,0.71981,0.73128,2021/05/09 18:01:57,0.72861,-0.14,9.5,Cabeza fria,
2021/05/07 09:42:07,buy,0.05,eurchf_H1,1.09609,1.09164,1.1017,2021/05/10 08:44:49,1.09449,-0.13,-8.89,Cabeza fria,
2021/05/10 09:01:08,sell,0.05,gbpusd_H1,1.41101,1.41644,1.40497,2021/05/12 07:40:40,154085,-0.22,-18.82,Cabeza fría,
2021/05/10 16:58:24,sell,0.05,gbpjpy_H1,153.674,154.085,152.711,2021/05/11 08:37:45,1.21052,0,-3.44,Cabeza fria,
2021/05/11 08:20:27,buy,0.04,usdcad_H4,1.21156,1.2069,1.2177,2021/05/12 07:30:03,0.9072,-0.01,21.27,Cabeza fria,
2021/05/12 09:01:18,buy,0.05,usdjpy_H1,109.316,108.435,110.254,2021/05/27 10:50:47,109.824,-1.84,23.13,Cabeza fria,
2021/05/12 15:24:35,sell,0.02,xauusd_H4,1815.5,1843.95,1789.76,2021/05/14 14:59:48,1843.95,-0.24,-56.9,Cabeza fria,
2021/05/12 15:56:02,buy,0.05,eurjpy_H1,132.461,131.779,133.194,2021/05/17 20:44:26,132.771,-1.08,14.21,Cabeza fria,
2021/05/10 09:01:08,sell,0.05,gbpusd_H1,1.41101,1.41644,1.40497,2021/05/11 11:39:32,1.41644,-0.15,-27.15,Cabeza fría,
2021/05/14 08:37:24,buy,0.02,audusd_M30,0.77604,0.77252,0.78051,2021/05/17 20:44:19,0.77868,-0.24,5.28,Cabeza fria,
2021/05/17 10:53:49,buy,0.01,xauusd_H1,1866.9,1841.75,1897.24,2021/05/17 20:44:05,1872.68,-0.1,5.78,Cabeza fría,
2021/05/18 08:15:24,sell,0.01,us30_m1_H1,34248,34330,34154,2021/05/18 08:45:11,34330,0,-4.1,Cabeza fría,
2021/05/18 08:18:28,sell,0.02,wticash_H1,66.14,67.09,64.97,2021/05/18 11;01:34,64.97,0,23.4,Cabeza fria,
2021/05/18 09:00:09,sell,0.02,audusd_M30,0.77904,0.78096,0.77696,2021/05/19 16:16:15,0.78096,0,-0.05,Cabeza fría,
2021/05/19 11:03:53,buy,0.03,us100_m1_H1,13122,12999.25,13256,2021/05/19 11:06:00,13127,0,3,Cabeza fria,
2021/05/19 11:06:22,buy,0.01,us100_m1_H1,13129.75,12996.75,13253.25,2021/05/19 02:35:19,13253.25,-0.12,24.7,Cabeza fría,
2021/05/19 12:00:12,buy,0.03,nzdusd_M30,0.7196,0.71687,0.72249,2021/05/19 13:05:33,0.71665,0,-8.55,Cabeza fria,
2021/05/19 12:01:38,buy,0.01,ukoil_n1_M30,66.84,65.19,68.54,2021/05/20 04:46:40,65.19,-0.27,-16.5,Cabeza fria,
2021/05/19 14:46:08,buy,0.01,wticash_M30,63.38,62.84,64.47,2021/05/20 03:44:38,62.84,-0.75,-5.4,Cabeza fria,
2021/05/20 10:23:00,sell,0.03,usdcad_H1,1.20627,1.20768,1.20383,2021/05/20 14:38:41,1.20533,0,2.34,Cabeza fría,
2021/05/20 11:00:26,buy,0.02,ukoil_n1_H1,66.41,65.38,67.93,2021/05/20 09:16:56,65.38,0,-20.6,Cabeza fría,
2021/05/20 13:00:11,sell ,0.01,wticash_H1,61.84,62.47,60.9,2021/05/21 04:07:38,62.47,-0.19,-6.3,Cabeza fria,
2021/05/20 14:48:23,sell,0.02,eurchf_M30,1.0976,1.09943,1.09554,2021/05/21 06:12:43,1.09554,-0.08,4.59,Cabeza fria,
2021/05/20 15:00:40,buy,0.01,nat_gas_m1_M30,2.947,2.914,3.015,2021/05/21 07:32:57,2.914,-0.37,-3.3,Cabeza fria,
2021/05/31 09:36:21,buy,0.01,nzdusd_H1,0.72713,0.72435,0.73049,2021/06/02 00:04:04,0.72435,-0.06,-2.78,Cabeza fria,
2021/05/31 09:42:06,buy,0.01,audusd_H1,0.77375,0.76962,0.778835,2021/06/03 07:57:33,0.76962,-0.3,-4.13,Cabeza fria,
2021/05/31 09:47:56,buy,0.01,eurchf_H1,1.09909,1.09584,1.10247,2021/06/01 11:02:02,1.09584,-0.03,-3.63,Cabeza fria,
2021/06/07 21:11:43,sell,0.01,xauusd_H1,1898.77,1904.57,1888.16,2021/06/08 08:54:38,1888.16,0,10.61,Cabeza fria,
2021/06/08 12:20:20,buy,0.01,eurchf_H1,1.09223,1.09064,1.09439,2021/06/09 08:32:23,1.09064,-0.03,-1.78,Cabeza fria,
2021/06/08 09:31:54,buy,0.02,eurjpy_H1,133.405,133.08,133.679,2021/06/09 13:37:15,133439,-0.07,0.62,Cabeza fría,
2021/06/08 12:48:00,sell,0.01,nat_gas_k1_H1,3.147,3.208,3.082,2021/06/10 07:26:00,3.208,-0.2,-6.1,Cabeza fria,
2021/05/25 02:05:03,buy,0.01,eurusd_H4,1.22626,1.1937,1.26025,2021/06/17 03:54:23,1.1937,-1.5,-32.56,Cabeza fria,
2021/06/09 19:51:32,sell ,0.02,audusd_H1,0.77223,0.77565,0.76907,2021/06/10 08:00:20,0.77565,0,-6.84,Cabeza fria,
2021/06/08 10:20:20,buy,0.01,eurchf_H1,1.09223,1.09064,1.09439,2021/06/09 06:32:23,1.09064,-0.03,-1.78,Cabeza fria,
2021/06/09 08:43:37,sell,0.02,nzdusd_H1,0.7178,0.72168,0.71392,2021/06/11 07:06:21,0.71392,-0.24,7.76,Cabeza fria,
2021/06/09 09:00:16,sell,0.02,usdjpy_H1,109.607,109.677,109.424,2021/06/09 13:59:57,109.677,0,-1.28,Cabeza fria,
2021/06/11 09:30:38,sell,0.03,usdjpy_H1,109.704,109.865,109.484,2021/06/14 08:33:08,109.865,-0.14,-4.4,Cabeza fria,
2021/06/11 11:31:58,sell,0.03,eurjpy_H1,132.711,133.024,132.362,2021/06/14 07:37:15,133.024,-0.08,0,Cabeza fria,
2021/06/11 11:34:30,sell,0.03,usdchf_H1,0.89923,0.90022,0.89711,2021/06/14 13:48:23,0.90022,-0.23,-3.3,Cabeza fria,
2021/06/11 11:35:58,buy,0.02,eurgbp_H1,0.85774,0.85644,0.85926,2021/06/14 16:02:04,0.85926,-0.11,4.29,Cabeza fria,
2021/06/11 11:38:03,buy,0.02,nzdusd_H1,0.71265,0.71102,0.71567,2021/06/15 00:30:47,0.71567,-0.1,6.04,Cabeza fria,
2021/06/11 11:40:01,buy,0.02,audusd_H1,0.76983,0.76837,0.77195,2021/06/14 05:52:10,0.77195,-0.12,4.24,Cabeza fria,
2021/06/11 11:42:37,buy,0.01,xauusd_H1,1879.75,1874.26,1887.5,2021/06/14 17:55:07,1874.17,-0.1,-5.58,Cabeza fria,
2021/06/16 19:26:01,sell,0.03,usdjpy_M30,110.761,110.915,110.275,2021/06/17 09:49:24,110.275,0,13.22,Cabeza fria,
2021/06/16 19:28:05,buy,0.02,eurjpy_H1,132.83,132.57,133.184,2021/06/17 02:04:04,132.57,0,-4.7,Cabeza fria,
2021/06/16 19:29:39,sell,0.03,usdchf_M30,0.90848,0.90977,0.90537,2021/06/17 01:11:54,0.90977,0,-4.25,Cabeza fria,
2021/06/16 19:31:10,buy,0.01,eurgbp_M30,0.85779,0.85602,0.85985,2021/06/17 02:08:01,0.85602,0,-2.48,Cabeza fria,
2021/06/16 19:33:39,sell,0.02,audusd_M30,0.76158,0.75941,0.76611,2021/06/17 03:52:30,0.75941,0,-4.34,Cabeza fria,
2021/07/15 14:45:15,sell,0.01,usdjpy_M15,109.799,109.86,109.722,2021/07/15 15:57:36,109.86,0,-0.56,"Cabeza fria, relajado",
2021/07/15 14:49:00,buy,0.01,gbpusd_H1,1.38152,1.37958,1.38404,2021/07/16 02:31:13,1.37958,-0.05,-1.94,Cabeza fría relajado,
2021/07/15 14:57:40,buy,0.01,eurjpy_M30,129.698,129.573,129.843,2021/07/15 20:38:11,129.843,-0.04,1.32,Cabeza fría,
2021/07/15 15:01:19,sell,0.01,usdchf_M30,0.91748,0.91936,0.91491,2021/07/16 02:30:12,0.91936,-0.07,-2.04,Cabeza fria,
2021/07/15 15:13:09,sell,0.01,usdcad_H1,1.25942,1.26146,1.25654,2021/07/16 03:53:22,1.25654,-0.04,2.29,Cabeza fria,
2021/07/15 15:16:36,buy,0.01,audusd_H1,0.74235,0.74078,0.74427,2021/07/16 07:41:31,0.74078,-0.06,-1.57,Cabeza fria,
2021/07/15 15:20:18,sell,0.01,eurchf_M30,1.08395,1.08494,1.08256,2021/07/16 04:00:02,1.08494,-0.04,-1.08,Cabeza fria,
2021/07/19 10:33:59,buy,0.01,gbpusd_M30,1.3684,1.36459,1.37469,2021/07/20 01:36:48,1.36459,-0.05,-3.81,Cabeza fria,
2021/07/19 10:38:29,buy,0.01,eurjpy_M30,129.244,128.816,129.705,"2021/07/20 128,816",128.816,-0.04,-3.91,Cabeza fria,
2021/07/19 10:45:53,sell,0.01,eurgbp_H1,0.8618,0.86434,0.85866,2021/07/20 03:01:17,0.86434,-0.01,-3.46,Cabeza fria,
2021/07/19 10:48:52,buy,0.01,gbpjpy_H1,150.007,149.21,150.851,2021/07/20 05:02:54,149.21,-0.03,-7.29,Cabeza fria,
2021/07/19 10:51:35,buy,0.01,nzdusd_H1,0.69447,0.69158,0.69756,2021/07/19 14:29:47,0.69158,0,-2.89,Cabeza fria,
2021/07/19 10:54:16,buy,0.01,audusd_H1,0.73424,0.73223,0.73816,2021/07/19 14:25:12,0.73223,0,-2.01,Cabeza fria,
2021/07/20 12:05:36,buy,0.01,gbpusd_H1,1.36281,1.35597,1.37281,2021/07/21 16:35:17,1.37082,-0.19,8.01,Cabeza fria,
2021/07/20 12:20:22,buy,0.01,nzdusd_H1,0.69184,0.68749,0.69613,2021/07/21 09:27:58,0.69486,-0.03,3.02,Cabeza fria,
2021/07/20 12:39:35,buy,0.01,ger30_u1,15223,15179,15306,2021/07/21 04:23:06,15306,-0.05,24.4,Cabeza fria,
2021/07/21 16:38:46,sell,0.01,eurjpy_M30,130.056,130.222,129.779,2021/07/22 06:48:30,130.222,0,-1.5,Cabeza fria,
2021/07/21 16:43:50,sell,0.01,gbpjpy_H1,151.213,151.434,150.541,2021/07/22 02:05:38,151.434,0,-2.01,Cabeza fria,
2021/07/21 16:45:15,sell,0.01,nzdusd_M30,0.69678,0.69783,0.69431,2021/07/22 08:10:34,0.69783,0,-1.05,Cabeza fria,
2021/07/21 16:46:11,buy,0.01,usdcad_H1,1.25635,1.25313,1.2632,2021/07/22 08:25:38,1.25313,0,-2.57,Cabeza fria,
2021/07/22 10:12:45,sell,0.01,ger30_u1_M30,15495.5,15535,15417.5,2021/07/22 13:40:05,15535,0,-11.62,Cabeza fria,
2021/07/22 10:16:58,sell,0.01,us500_u1_H1,4351.5,4363.75,4332.5,2021/07/22 15:30:09,4363.75,0,-6.13,Cabeza fria,
2021/07/23 09:35:27,sell,0.01,us30_u1_M30,34832,34921,34716,2021/07/23 12:00:06,34921,0,-4.45,Cabeza fria,
2021/07/26 10:14:41,sell,0.01,eurchf_H1,1.0815,1.08322,1.07956,2021/07/28 09:56:18,1.07956,-0.08,2.12,Cabeza fria,
2021/07/26 10:17:51,sell,0.01,nat_gas_u1_H1,4.026,4.092,3.935,2021/07/26 13:07:40,4.092,0,-6.6,Cabeza fria,
2021/07/26 10:22:26,sell,0.01,ger30_u1_H1,15588.5,15637,15485.5,2021/03/27 02:14:48,15485.5,-0.12,30.32,Cabeza fria,
2021/07/27 16:05:26,sell,0.01,gbpusd_M30,1.38748,1.38949,1.38864,2021/07/28 02:21:41,1.38949,0,-2.01,Cabeza fria,
2021/07/27 16:09:41,buy,0.01,usdjpy_M30,109.808,109.648,109.748,2021/07/28 03:10:06,109.975,0,1.52,Cabeza fria, 
2021/07/28 11:54:51,buy,0.01,nzdusd_M30,0.69368,0.69259,0.69528,2021/07/28 12:59:54,0.69259,0,-1.09,Cabeza fria,
2021/07/28 14:39:13,sell,0.01,usdcad_H1,1.25491,1.25731,1.25252,2021/07/28 14:47:35,1.25252,0,1.91,Cabeza fria,
2021/07/28 14:00:21,sell,0.01,us30_u1_H1,34767,34851,34664,2021/07/28 14:02:16,34851,0,-4.2,Cabeza fria,
2021/07/29 08:5438,buy,0.02,usdcad_H1,1.24733,1.24423,1.25109,2021/07/29 09:58:31,1.24423,0,-4.98,Cabeza fria,
2021/07/30 10:00:03,sell,0.01,xauusd_H1,1822.29,1827.54,1812.24,2021/07/30 13:25:25,1812.24,0,10.05,Cabeza fria,
2021/07/30 10:02:43,buy,0.02,usdcad_H1,1.24788,1.24523,1.25263,2021/08/02 04:05:39,1.24523,-0.05,-4.26,Cabeza fria,
2021/08/02 15:17:22,buy,0.02,usdjpy_H1,109.324,109.16,109.514,2021/08/03 00:17:14,109.16,0,-3,Cabeza fria,
2021/08/03 11:00:45,buy,0.01,usdjpy_H1,109.114,108.986,109.319,2021/08/03 18:16:49,108.986,-0.02,-1.17,Cabeza fria,
2021/08/03 11:03:55,buy,0.01,wticash_M30,70.53,69.91,71.34,2021/08/04 12:16:56,69.91,0,-6.2,Cabeza fria,
2021/08/04 10:14:11,sell,0.01,xauusd_M30,1806.98,1809.01,1801.69,2021/08/04 10:16:56,1809.01,0,-2.03,Cabeza fria,
2021/08/04 10:12:40,sell,0.01,gbpusd_H1,1.39016,1.39218,1.38765,2021/08/05 19:09:40,1.38943,-0.09,0.73,Cabeza fria,
2021/08/04 18:23:05,sell,0.01,wticash_H1,67.79,0,67.49,2021/08/04 18:23:42,67.86,0,-0.7,error,
2021/08/04 18:23:50,buy,0.01,wticash_H1,67.85,67.51,68.49,2021/08/05 01:49:34,67.51,0,-3.4,Cabeza fria,
2021/08/09 10:11:03,buy,0.01,wticash_H1,66.24,65.35,67.75,2021/08/10 02:45:13,67.75,-0.25,15.1,Cabeza fria,
2021/08/10 15:58:30,sell,0.01,usdcad_H1,1.25159,1.2533,1.24895,2021/08/11 02:02:52,1.2533,-0.04,-1.36,Cabeza fria,
2021/08/11 19:52:02,sell,0.01,nzdusd_H1,0.70373,0.705,0.70142,2021/08/12 08:30:14,0.70142,0,2.31,Cabeza fria,
2021/08/11 19:50:52,buy,0.01,usdcad_H1,1.25108,1.24929,1.25353,2021/08/13 09:19:33,1.25039,-0.02,-0.55,Cabeza fria,
2021/08/12 19:53:14,buy,0.01,nat_gas_u1_H1,3.917,3.893,3.965,2021/08/12 23:48:44,3.893,0,-2.4,Cabeza fria,
2021/08/13 08:38:40,buy,0.01,nat_gas_u1_H1,3.942,3.902,3.988,2021/08/13 08:38:40,3.902,0,-4,Cabeza fria,
2021/08/13 08:13:12,sell,0.01,ger30_u1_H1,15979.5,16008,15945,2021/08/16 01:00:03,15945,-0.12,10.17,Cabeza fria,
2021/08/16 16:55:09,buy,0.01,usdjpy_H1,109.313,109.049,109.663,2021/08/17 23:11:48,109.663,-0.02,3.19,Cabeza fria,
2021/08/16 16:57:15,sell,0.01,eurjpy_H1,128.663,129.083,128.45,2021/08/17 02:11:41,128.45,0,1.95,Cabeza fria,
2021/08/16 19:18:44,buy,0.01,eurchf_H1,1.0752,1.07298,1.07838,2021/08/17 02:02:08,1.07298,0,-2.23,Cabeza fria,
2021/08/17 09:28:58,sell,0.01,usdcad_H1,1.26047,1.26312,1.25718,2021/08/17 09:56:36,1.26312,0,-2.1,Cabeza fria,
2021/08/19 14:21:27,buy,0.01,wticash_H1,63.91,62.77,65.35,2021/08/19 06:48:51,62.77,-0.25,-11.4,Cabeza fria,
2021/08/19 14:23:49,buy,0.01,ger30_u1_H1,15800,15729,15889,2021/08/20 01:00:00,15717.5,-0.05,-24.1,Cabeza fria,
2021/08/20 09:16:27,buy,0.01,ger30_u1_H1,15780,15704,15903.5,2021/08/23 01:00:05,15903.5,-0.05,36.18,Cabeza fria,
2021/08/20 09:22:46,sell,0.01,eurgbp_H1,0.8568,0.85827,0.85402,2021/08/20 10:50:49,0.85827,0,-2,Cabeza fria,
2021/08/20 12:18:30,sell,0.01,nat_gas_u1_H1,3.901,3.952,3829,2021/08/23 13:37:56,3.952,-0.05,-5.1,Cabeza fria,
2021/08/24 18:17:47,sell,0.01,wticash_H1,67.34,67.78,66.46,2021/08/25 06:57:10,67.78,0,-4.4,Cabeza fria,
2021/08/24 10:28:47,buy,0.01,eurgbp_H1,0.8561,0.8548,0.85795,2021/08/25 15:59:19,0.8548,-0.05,-1.79,Cabeza fria,
2021/08/25 09:33:25,sell,0.01,ger30_u1_H1,15853.5,15895.5,15803.5,2021/08/26 01:00:08,15803.5,-0.35,14.71,Cabeza fria,
2021/08/27 17:35:31,sell,0.01,eurchf_H1,1.0787,1.07702,1.07557,2021/08/27 10:17:20,1.07633,0,2.59,Cabeza fria,
2021/08/31 20:24:21,sell,0.01,us500_u1_H1,4527.25,4535.25,4514.5,2021/08/30 23:55:39,4535.25,0,-4,Cabeza fria,
2021/08/31 10:29:56,sell,0.01,nzdusd_H1,0.70366,0.70615,0.70093,2021/09/01 02:27:26,0.70615,-0.03,-2.49,Cabeza fria,
2021/09/06 15:51:26,sell,0.01,usdchf_H1,0.91947,0.91643,0.91314,2021/09/06 16:30:00,0.91643,-0.2,-1.59,Cabeza fria,
2021/09/07 20:30:17,buy,0.01,xauusd_H1,1797.33,1791.08,1805.95,2021/09/08 08:46:20,1791.08,0,-6.25,Cabeza fria,
2021/09/09 07:44:38,buy,0.01,ger30_u1_H1,15599,15513,15707.5,2021/08/10 09:34:40,15616.5,-0.06,5.18,Cabeza fria,
2021/09/13 09:39:22,sell,0.01,usdcad_H1,1.26582,1.26938,1.26099,2021/09/14 07:35:41,1.26099,-0.04,3.83,Cabeza fria,
2021/09/13 09:41:04,buy,0.01,eurusd_H1,1.17982,1.17786,1.18191,2021/09/14 02:05:40,1.18191,-0.06,2.09,Cabeza fria,
2021/09/14 09:14:16,sell,0.01,wticash_H1,70.47,71.02,69.74,2021/09/15 02:22:08,71.05,-0.28,-5.8,Cabeza fria,
2021/09/15 10:19:27,buy,0.01,gbpjpy_H1,151.319,150.877,151.267,2021/09/16 11:55:13,150.877,-0.1,-4.03,Cabeza fria,
2021/09/16 18:40:54,buy,0.01,eurusd_H1,1.17662,1.17477,1.11792,2021/09/17 09:13:41,1.17477,0,-1.85,Cabeza fria,
2021/09/17 12:22:45,sell,0.01,usdjpy_H1,109.939,110.088,109.691,2021/09/19 16:01:39,110.137,-0.05,-1.8,Cabeza fria,
2021/09/20 10:03:22,buy,0.01,nzdusd_H1,0.70319,0.70065,0.70588,2021/09/20 18:06:55,0.70069,-0.03,-2.5,Cabeza fria,
2021/09/21 20:13:43,buy,0.01,usdchf_H1,0.92446,0.92249,0.92645,2021/09/22 02:32:44,0.92249,0,-2.14,Cabeza fria,
2021/09/22 09:46:40,buy,0.01,swiss_20_z1_H1,11821,11750,11909,2021/09/23 01:52:14,11909,-0.02,9.51,Cabeza fria,
2021/09/23 19:39:21,buy,0.01,usdcad_H1,1.26459,1.26233,1.2686,2021/09/24: 02:06:28,1.2686,0,3.16,Cabeza fria,
2021/09/24 19:40:42,sell,0.01,wticash_H1,73.07,73.44,72.68,2021/09/23 20:19:27,73.44,0,-3.7,Cabeza fria,
